,SK_ID_CURR,TARGET,AMT_INCOME_TOTAL,AMT_ANNUITY,AGE,YEARS_EMPLOYED,OWN_CAR_AGE,CNT_FAM_MEMBERS,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Other,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_HR staff,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_IT staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Managers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Other,OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Realty agents,OCCUPATION_TYPE_Sales staff,CREDIT_active,CREDIT_MEAN_OVERDUE_active,CREDIT_MEAN_active,proportion_OVERDUE_active,CREDIT_sold,CREDIT_MEAN_OVERDUE_sold,CREDIT_MEAN_sold,proportion_OVERDUE_sold,CREDIT_closed,CREDIT_MEAN_OVERDUE_closed,CREDIT_MEAN_closed,proportion_OVERDUE_closed,CREDIT_bad,CREDIT_MEAN_OVERDUE_bad,CREDIT_MEAN_bad,proportion_OVERDUE_bad,CREDIT_ask,Number_years_Loan_Theorical,INCOME_ANNUITY_RATIO
11533,100014,0,112500.00000000004,21177.00000000001,27.97530864197531,1.8628257887517148,0.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,6376.14,502874.9999999996,0.0126793736017897,0.0,0.0,0.0,0.0,1.0,2401.4587500000007,164836.48499999993,0.0145687330690168,0.0,0.0,0.0,0.0,102834.0000000001,30.81172970675733,5.31236719082023
30877,100173,0,116999.99999999993,26725.500000000025,31.91495198902606,7.122085048010974,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,243892.79999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104751.0000000001,0.0,0.0,0.0,0.0,0.0,57073.49999999998,29.25745074928439,4.377841387438963
4160,100201,0,179999.9999999999,36747.00000000003,33.325102880658434,5.9753086419753085,0.0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,594000.0000000002,0.0,0.25,0.0,69898.49999999996,0.0,0.9230769230769232,6790.499999999999,60676.5,0.1119131789078144,0.0,0.0,0.0,0.0,126298.05882352938,18.3688464364438,4.898359049718344
36479,100425,0,89999.99999999991,20258.99999999998,35.6159122085048,7.818930041152264,64.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,157500.00000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46206.37285714287,0.0,0.0,0.0,0.0,0.0,64315.799999999945,33.98489560195468,4.44247001332741
10961,100686,0,134999.99999999997,40409.99999999997,36.041152263374485,7.083676268861454,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,140624.99999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91316.70000000008,0.0,0.0,0.0,0.0,0.0,130174.49999999994,27.839643652561247,3.34075723830735
30122,101210,0,179999.9999999999,43150.50000000001,32.79835390946502,7.967078189300412,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,138091.8824999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,329999.9999999997,0.0,0.0,0.0,0.0,0.0,116156.8125,26.17582646782772,4.17144644905621
26547,101307,0,134999.99999999997,30109.5,31.906721536351167,1.953360768175583,13.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,225000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,192962.25,0.0,0.0,0.0,0.0,0.0,52428.37499999997,17.832162606486325,4.483634733223734
30044,101321,0,134999.99999999997,24749.999999999985,47.36625514403292,6.032921810699588,11.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,292499.9999999998,0.0,0.1,0.0,315000.00000000023,0.0,0.989010989010989,0.0,209492.7000000002,0.0,0.0,0.0,0.0,0.0,423301.50000000006,20.0,5.454545454545454
15818,101661,0,76500.00000000003,27553.49999999997,38.655692729766805,2.230452674897119,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,381836.24999999977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,258750.00000000003,0.0,0.0,0.0,0.0,0.0,133398.75,22.70259676629104,2.776416789155643
2749,102124,0,157500.00000000003,29731.49999999998,45.5363511659808,0.4609053497942387,0.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,225000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31461.74999999997,0.0,0.0,0.0,0.0,0.0,150642.00000000006,22.703193582563948,5.297411835931587
